1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
16,16,16,16,17,19,17,19,19,19,17,17,17,20,20,20,20,16,20,19,17,20,18,19,19,18,16,19,18,20,21,19,19,19,16,15,16,17,18,16,15,18,19,18,18,18,17,18,18,20
17,15,16,17,19,20,17,19,19,19,17,17,18,18,20,17,20,16,21,20,16,21,18,19,18,18,16,18,18,20,19,19,19,19,17,15,16,16,17,17,16,19,17,18,17,19,17,19,19,19
17,15,17,16,18,20,19,19,17,19,17,18,17,19,20,20,19,16,20,19,18,18,18,19,19,18,15,18,17,20,19,18,19,19,17,15,16,16,18,17,16,19,18,17,17,19,18,19,20,20
15,16,15,16,18,20,18,19,19,19,16,17,17,20,20,19,19,16,21,20,18,22,18,19,18,19,17,18,19,21,20,20,19,19,17,15,15,18,19,18,16,18,18,18,18,19,18,19,19,20
15,17,16,16,19,20,16,18,19,19,16,16,18,19,20,20,19,18,21,20,17,19,18,19,18,18,17,19,18,20,19,18,19,20,17,15,16,17,18,17,16,19,18,19,18,19,18,18,18,19
18,16,15,16,19,20,17,18,20,19,17,17,18,18,21,19,19,16,21,19,17,19,18,18,19,19,16,19,18,20,19,18,19,20,17,14,17,16,18,17,16,20,18,19,17,18,18,18,18,20
16,17,15,16,18,20,19,18,19,19,16,17,18,19,20,19,19,16,20,20,17,19,18,19,18,18,16,18,18,20,18,17,19,21,17,16,16,17,18,17,17,18,18,19,17,18,16,19,19,20
17,17,15,18,18,19,17,19,17,19,17,17,17,19,20,19,20,17,23,19,17,19,17,19,19,19,15,20,18,20,19,20,19,20,17,15,16,19,19,17,16,18,17,18,18,17,18,19,19,19
16,17,14,15,18,21,17,20,18,20,15,16,18,19,20,18,19,17,20,19,17,20,18,18,19,19,16,18,17,20,20,19,19,20,17,15,17,19,19,18,15,18,19,19,19,18,17,19,19,20
16,16,15,16,19,20,18,19,19,19,16,17,17,20,20,19,19,17,21,20,16,20,18,21,18,20,16,19,19,19,19,18,19,21,17,15,17,19,17,18,16,18,19,19,18,18,17,19,20,21
17,17,16,16,18,20,17,19,18,19,17,17,17,19,20,19,20,16,22,20,18,19,19,19,18,19,16,18,19,20,20,19,21,20,17,15,18,17,18,17,17,18,18,18,18,19,19,19,19,20
17,17,16,16,18,20,18,19,19,19,17,17,17,19,20,19,19,17,21,19,17,19,17,19,18,18,18,18,18,20,20,18,19,20,18,16,16,17,18,17,16,18,19,19,18,19,18,18,19,19
15,17,15,16,17,20,18,19,17,18,17,18,17,19,21,19,19,17,21,19,18,20,19,20,18,18,16,17,18,20,20,19,20,19,17,16,17,17,19,18,15,18,18,19,18,18,19,19,19,19
16,16,15,16,16,19,18,18,19,18,16,17,17,19,20,19,19,18,21,20,18,20,18,21,19,19,17,19,18,20,20,18,19,20,17,15,17,17,18,17,16,18,18,18,17,19,19,18,19,21
17,17,15,16,18,18,19,19,19,19,17,17,17,19,20,19,20,18,21,19,18,20,18,18,20,19,16,18,19,20,19,18,19,19,17,14,16,18,18,17,17,19,20,18,17,18,17,18,19,18
18,17,16,17,17,20,18,19,19,19,17,17,18,18,21,19,20,17,22,19,18,20,18,19,18,19,16,18,18,20,19,19,19,19,17,15,17,17,18,17,17,19,18,18,17,19,16,19,19,20
16,17,15,16,18,19,18,19,19,19,16,17,17,19,20,19,21,17,21,20,17,19,18,18,19,18,16,19,18,20,20,17,18,19,17,15,17,18,18,18,16,19,19,20,17,18,18,19,18,20
16,16,16,16,18,21,20,18,20,19,17,17,16,19,21,19,20,17,23,20,18,19,18,18,19,19,16,18,18,19,19,18,20,19,17,15,16,17,18,19,16,19,18,18,18,20,19,18,20,20
17,16,17,16,18,20,18,19,18,19,16,17,18,19,20,20,20,17,22,19,18,21,18,18,18,19,16,19,18,20,20,19,19,20,16,14,16,20,17,16,15,19,19,20,18,18,17,19,19,20
16,17,16,18,20,19,18,19,18,20,17,16,17,19,21,19,20,17,21,20,19,19,19,19,20,19,16,18,19,20,20,19,19,20,18,15,17,18,18,18,17,18,18,19,17,18,19,19,19,20
17,18,16,17,18,20,20,20,17,19,17,16,17,19,21,19,21,18,20,20,19,20,18,20,19,19,17,18,18,21,20,19,19,19,18,15,15,18,18,18,16,17,18,19,17,19,18,18,19,20
17,17,16,16,18,19,19,19,19,19,16,18,17,19,20,19,21,17,21,19,17,21,18,19,19,18,16,18,18,20,21,19,19,19,17,15,16,17,18,17,16,18,17,19,18,19,18,17,17,20
16,17,16,16,18,19,18,20,19,20,17,18,17,18,20,19,20,17,22,19,17,19,18,19,20,19,16,19,18,20,20,17,19,20,18,15,17,17,18,17,16,19,18,18,17,19,18,20,18,21
17,16,16,17,18,20,19,19,19,19,17,16,17,20,20,20,20,17,21,21,17,20,18,19,18,18,17,18,18,20,20,20,20,20,18,15,17,18,19,17,17,19,18,19,18,19,18,18,19,20
16,17,16,16,18,22,18,18,18,19,16,18,18,19,20,19,20,17,22,20,19,19,18,18,19,18,16,19,18,20,19,20,20,19,17,17,17,18,18,18,16,17,18,19,18,18,17,18,19,21
17,17,15,17,18,20,18,19,18,20,16,17,17,19,20,19,20,17,19,20,18,21,17,19,19,19,16,17,20,20,20,18,19,19,18,16,17,18,18,17,17,19,18,19,18,17,19,20,19,21
17,17,16,16,18,20,18,20,19,19,16,17,18,20,22,19,19,17,22,20,18,20,18,19,18,19,16,17,18,20,20,17,19,19,19,15,17,17,19,18,17,19,19,19,18,19,17,18,19,20
18,17,16,17,18,21,19,20,19,20,17,17,17,22,20,19,19,18,22,20,17,20,19,19,18,20,16,18,19,21,19,19,19,18,18,15,17,18,19,17,15,19,18,19,17,19,18,19,19,21
17,17,16,17,18,20,18,19,17,21,17,17,18,20,20,19,19,17,20,19,19,21,17,19,18,19,17,19,18,20,20,19,19,20,17,15,17,18,19,19,17,18,18,17,17,18,18,19,21,21
18,17,16,17,17,20,18,19,19,20,17,18,17,20,21,19,19,17,22,21,17,19,18,19,19,18,16,18,19,20,21,18,19,19,18,15,17,17,18,19,17,19,19,19,20,17,18,19,19,22
17,17,16,16,19,20,18,19,19,18,17,17,16,20,20,19,20,17,21,19,18,20,19,19,19,19,16,18,18,21,20,20,19,19,17,15,17,18,19,19,16,18,19,19,18,18,18,18,18,21
17,18,16,16,19,20,18,19,19,20,16,18,18,19,20,21,19,16,21,19,17,20,18,19,19,19,16,18,18,20,20,20,19,19,17,15,17,18,19,17,16,18,18,19,18,18,18,18,19,20
17,17,16,17,18,20,18,18,19,19,17,18,17,20,20,19,19,17,21,19,17,19,19,19,19,19,15,19,18,22,20,20,21,20,17,17,18,17,19,18,16,19,19,20,18,18,19,19,19,20
17,17,15,16,18,21,18,19,18,18,17,16,17,18,20,18,20,17,22,19,19,20,18,20,18,18,16,18,19,20,19,19,19,20,18,15,16,18,19,18,17,17,17,19,18,19,18,19,19,21
16,17,15,17,17,21,17,19,18,19,17,17,17,21,21,20,20,16,21,19,18,21,18,20,19,19,17,17,17,21,20,19,19,20,17,15,17,18,19,18,17,18,18,19,17,18,17,19,19,20
17,17,16,17,19,19,18,19,19,19,17,17,16,20,19,20,20,17,20,20,19,20,18,19,20,19,16,20,18,20,19,19,20,19,18,15,17,16,17,17,17,18,18,18,18,19,18,18,19,21
17,17,15,18,19,20,18,19,19,20,17,17,18,19,21,19,19,17,21,20,18,20,19,18,18,17,17,17,19,20,20,19,19,21,18,15,16,18,18,18,17,18,18,19,18,18,17,19,19,20
17,17,16,16,17,21,18,19,21,19,16,17,17,19,20,19,21,17,22,20,18,21,17,18,20,18,16,18,18,20,20,20,19,19,17,15,15,17,18,18,16,18,18,20,17,19,18,19,18,19
17,15,17,17,19,19,18,18,19,19,17,18,17,19,20,19,20,18,20,20,19,21,18,20,20,18,17,19,18,20,19,19,19,19,17,14,17,18,17,18,17,18,19,19,18,18,17,18,19,20
